time,z1,z1_dot,z2,z2_dot
0.8087167739868164,23.65,-1.6666666666666667,22.85,-2.8125
0.8422338962554932,23.75,-3.45,22.6,-4.959375
0.8736882209777832,24.0,-2.6599999999999997,22.7,-2.10625
0.8966658115386963,23.95,-1.8266666666666667,22.2,-1.5093750000000004
0.9177687168121338,23.4,-1.1100000000000003,21.3,-1.1875
0.9392318725585938,30.0,-0.5566666666666665,21.65,-0.6187499999999992
0.962425708770752,24.45,2.0833333333333335,22.4,-0.021874999999999978
0.9817602634429932,24.7,-0.19000000000000022,22.85,0.3125000000000001
1.0301549434661865,24.0,-0.15333333333333363,23.3,0.32499999999999973
1.0674192905426025,24.2,-0.43333333333333324,23.3,0.4750000000000004
1.103247880935669,23.9,-0.37000000000000016,22.9,0.2343750000000001
1.1413085460662842,23.1,-0.5233333333333331,22.85,-0.11250000000000016
1.1849329471588135,24.5,-0.38333333333333336,22.8,-0.04687500000000033
1.2249741554260254,24.35,0.17333333333333342,22.65,-0.08749999999999958
1.2696151733398438,23.95,0.1366666666666666,23.45,-0.15000000000000013
1.309699535369873,23.35,-0.020000000000000167,22.55,0.4093749999999994
1.3709397315979004,30.0,-0.2033333333333334,22.35,-0.3812499999999993
1.4166460037231445,23.85,2.05,22.55,-0.2000000000000005
1.4579980373382568,22.8,-0.4599999999999999,22.2,0.06250000000000044
1.4805569648742676,24.3,-0.766666666666666,22.05,-0.29687500000000056
1.5177829265594482,23.5,-0.16333333333333316,22.15,-0.14999999999999947
1.5606436729431152,30.0,-0.45333333333333337,22.5,0.009375000000000022
1.6103320121765137,23.3,1.7033333333333331,22.2,0.15312499999999973
1.6585795879364014,30.0,-0.53,22.3,-0.10937500000000033
1.69384765625,23.95,1.74,22.1,0.05625000000000058
1.7298521995544434,30.0,-0.756666666666667,22.15,-0.08750000000000047
1.781916618347168,23.3,1.2833333333333334,22.7,-0.03437499999999971
1.8355329036712646,22.85,-1.3833333333333333,22.2,0.3062499999999996
1.8625609874725342,23.25,-1.086666666666667,20.7,-0.19687500000000024
1.9086010456085205,23.65,-0.9233333333333332,21.6,-0.8625
1.9414665699005127,24.2,-0.33999999999999986,22.5,0.23125000000000007
1.976349115371704,23.7,-0.13666666666666696,22.3,0.42500000000000027
2.0414962768554688,22.85,0.08333333333333309,21.55,-0.01874999999999949
2.093724489212036,30.0,-0.22666666666666668,22.35,-0.23437499999999978
2.115198850631714,22.85,2.1566666666666667,21.5,0.39687499999999953
2.1457529067993164,30.0,-0.6766666666666665,21.75,-0.4468749999999999
2.1903059482574463,24.1,1.7600000000000002,22.55,-0.012500000000000067
2.22879695892334,24.7,-0.5933333333333334,22.25,0.4906250000000003
2.2859013080596924,24.3,-0.41999999999999993,22.0,-0.09375000000000022
2.339888572692871,23.1,-0.6766666666666664,21.85,-0.06562500000000004
2.370368719100952,23.1,-0.6966666666666668,22.2,-0.0687500000000002
2.3967108726501465,23.55,-0.7133333333333334,21.6,0.09999999999999964
2.4540419578552246,22.75,-0.10333333333333303,22.6,-0.3218749999999999
2.506784439086914,22.95,-0.3333333333333333,23.05,0.475
2.5329673290252686,21.75,-0.13666666666666696,23.3,0.4093750000000006
2.5655055046081543,22.05,-0.4466666666666666,22.25,0.27500000000000024
2.6149730682373047,22.45,-0.25666666666666643,22.05,-0.36250000000000027
2.642940044403076,22.3,-0.053333333333333614,22.45,-0.2218749999999996
2.70015549659729,21.9,-0.029999999999999714,23.0,0.08749999999999925
2.7412045001983643,22.25,-0.13333333333333322,22.5,0.22812500000000013
2.7741036415100098,21.95,0.05333333333333326,22.4,-0.15312499999999996
2.81196928024292,30.0,-0.08000000000000031,22.65,-0.03124999999999989
2.856326103210449,21.5,2.61,22.2,0.12812500000000016
2.8968427181243896,21.15,-0.7266666666666667,22.85,-0.28125000000000056
